;Titel;Autor_normalisiert;Jahr;Geschlecht;all_words_count
309;Andreas Vöst;Thoma, Ludwig;1906;m;77482
310;Der Wittiber;Thoma, Ludwig;1911;m;54886
311;Geschichte des Herrn William Lovell;Tieck, Ludwig;1795;m;160378
312;Franz Sternbalds Wanderungen;Tieck, Ludwig;1798;m;102629
313;Der junge Tischlermeister;Tieck, Ludwig;1836;m;125550
314;Vittoria Accorombona;Tieck, Ludwig;1840;m;102102
315;Julchen Grünthal;Unger, Friederike Helene;1784;f;97871
316;Albert und Albertine;Unger, Friederike Helene;1804;f;44779
317;Bekenntnisse einer schönen Seele;Unger, Friederike Helene;1806;f;49440
318;Die Zerissenen;Ungern-Sternberg, Alexander von;1832;m;43254
319;Auch Einer 1;Vischer, Friedrich Theodor;1879;m;81585
320;Auch Einer 2;Vischer, Friedrich Theodor;1879;m;78163
321;Ini;Voß, Julius;1810;m;58511
322;Rinaldo Rinaldini, der Räuberhauptmann;Vulpius, Christian August;1799;m;139629
323;Die Briten in Rom;Waiblinger, Wilhelm;1828;m;37682
324;Die Juden von Zirndorf;Wassermann, Jakob;1897;m;81000
325;Caspar Hauser;Wassermann, Jakob;1907;m;131204
326;Das Gänsemännchen;Wassermann, Jakob;1915;m;160151
327;Christian Wahnschaffe;Wassermann, Jakob;1919;m;244751
328;Fragment eines Romans;Weerth, Georg;1846;m;51296
329;Schnapphahnski;Weerth, Georg;1848;m;47914
330;Belphegor;Wezel, Johann Karl;1776;m;93108
331;Hermann und Ulrike;Wezel, Johann Karl;1780;m;258437
332;Kakerlak oder die Geschichte eines Rosenkreuzers;Wezel, Johann Karl;1784;m;28032
333;Die Abenteuer des Don Sylvio von Rosalva;Wieland, Christoph Martin;1764;m;123989
334;Geschichte des Agathon;Wieland, Christoph Martin;1766;m;160988
335;Der goldene Spiegel;Wieland, Christoph Martin;1772;m;120279
336;Geschichte der Abderiten;Wieland, Christoph Martin;1774;m;107413
337;Peregrinus Proteus;Wieland, Christoph Martin;1788;m;115173
338;Aristipp und einige seiner Zeitgenossen;Wieland, Christoph Martin;1800;m;321198
339;Die Abendburg;Wille, Bruno;1909;m;148449
340;Glasberg;Wille, Bruno;1920;m;123809
341;Die Europamüden;Willkomm, Ernst Adolf;1837;m;115475
342;Weisse Sclaven oder die Leiden des Volkes;Willkomm, Ernst Adolf;1845;m;269359
343;Elisa;Wobeser, Wilhelmine Karoline von;1795;f;74477
344;Agnes von Lilien;Wolzogen, Caroline von;1798;f;80236
345;Robert der Schiffsjunge;Wörishöffer, Sophie;1877;f;184996
